trip_id,pickup_location,drop_location,pickup_time,distance_km,fare,driver_id
TRIP-9190,Swargate,Koregaon Park,2025-07-31T16:09:45.393873,4.8,97.58,DR-5899
TRIP-2109,Kothrud,Shivajinagar,2025-07-31T16:09:46.402741,14.26,184.46,DR-2929
TRIP-1370,Wakad,Shivajinagar,2025-07-31T16:09:47.420001,12.75,197.26,DR-7840
TRIP-7360,Koregaon Park,Shivajinagar,2025-07-31T16:09:48.425702,9.75,136.0,DR-6171
TRIP-3153,Baner,Wakad,2025-07-31T16:09:49.431861,12.69,216.24,DR-2488
TRIP-1383,Hinjewadi,Shivajinagar,2025-07-31T16:09:50.434474,3.06,72.68,DR-5663
TRIP-9335,Baner,Viman Nagar,2025-07-31T16:09:51.438754,12.33,190.78,DR-1622
TRIP-7182,Wakad,Hinjewadi,2025-07-31T16:09:52.446633,10.56,141.99,DR-7042
TRIP-2815,Wakad,Viman Nagar,2025-07-31T16:09:53.454773,14.99,213.93,DR-4170
TRIP-7174,Baner,Koregaon Park,2025-07-31T16:09:54.457612,9.36,160.98,DR-7980
TRIP-9321,Hinjewadi,Wakad,2025-07-31T16:09:55.459198,3.68,90.13,DR-2400
TRIP-6798,Wakad,Viman Nagar,2025-07-31T16:09:56.464060,14.61,252.72,DR-9875
TRIP-3475,Hinjewadi,Shivajinagar,2025-07-31T16:09:57.470827,10.01,142.63,DR-6410
TRIP-3167,Baner,Koregaon Park,2025-07-31T16:09:58.476828,9.37,130.87,DR-6642
TRIP-3990,Baner,Viman Nagar,2025-07-31T16:09:59.480365,9.74,149.03,DR-3434
TRIP-7037,Viman Nagar,Kothrud,2025-07-31T16:10:00.481694,12.91,171.72,DR-1163
TRIP-2945,Shivajinagar,Viman Nagar,2025-07-31T16:10:01.486111,9.94,161.53,DR-7747
TRIP-2984,Kothrud,Hinjewadi,2025-07-31T16:10:02.502623,4.55,88.7,DR-7304
TRIP-9247,Hinjewadi,Koregaon Park,2025-07-31T16:10:03.504469,9.39,163.22,DR-1536
TRIP-4908,Baner,Viman Nagar,2025-07-31T16:10:04.510699,10.76,169.0,DR-8208
TRIP-5989,Koregaon Park,Kothrud,2025-07-31T16:10:05.520763,7.57,145.61,DR-2631
TRIP-5556,Shivajinagar,Hinjewadi,2025-07-31T16:10:06.522190,10.49,148.04,DR-8016
TRIP-5965,Viman Nagar,Baner,2025-07-31T16:10:07.540529,5.32,89.22,DR-7164
TRIP-5869,Shivajinagar,Baner,2025-07-31T16:10:08.544281,3.08,74.05,DR-7278
TRIP-7257,Kothrud,Wakad,2025-07-31T16:10:09.567673,14.95,238.27,DR-8045
TRIP-2822,Hinjewadi,Kothrud,2025-07-31T16:10:10.582914,4.7,101.75,DR-4320
TRIP-5900,Wakad,Swargate,2025-07-31T16:10:11.587802,10.86,171.71,DR-6111
TRIP-4598,Baner,Viman Nagar,2025-07-31T16:10:12.599480,8.27,120.45,DR-2827
TRIP-1335,Baner,Viman Nagar,2025-07-31T16:10:13.605366,10.98,186.87,DR-6789
TRIP-7179,Wakad,Koregaon Park,2025-07-31T16:10:14.607980,11.83,166.82,DR-6473
TRIP-9019,Baner,Swargate,2025-07-31T16:10:15.618508,10.21,180.86,DR-1711
TRIP-1271,Shivajinagar,Swargate,2025-07-31T16:10:16.623155,6.92,126.2,DR-7762
TRIP-3820,Viman Nagar,Shivajinagar,2025-07-31T16:10:17.627593,5.03,98.36,DR-3026
TRIP-8279,Kothrud,Swargate,2025-07-31T16:10:18.635993,11.08,177.53,DR-7001
TRIP-6299,Viman Nagar,Swargate,2025-07-31T16:10:19.641087,14.37,198.27,DR-9012
TRIP-8918,Koregaon Park,Swargate,2025-07-31T16:10:20.651018,14.88,250.6,DR-8588
TRIP-1982,Swargate,Shivajinagar,2025-07-31T16:10:21.658862,10.43,172.14,DR-8260
TRIP-7723,Wakad,Hinjewadi,2025-07-31T16:10:22.667886,9.52,176.09,DR-6374
TRIP-1960,Koregaon Park,Viman Nagar,2025-07-31T16:10:23.671486,8.74,150.64,DR-7994
TRIP-1865,Hinjewadi,Koregaon Park,2025-07-31T16:10:24.679950,12.73,204.93,DR-7288
TRIP-6155,Koregaon Park,Shivajinagar,2025-07-31T16:10:25.683828,9.34,155.7,DR-9307
TRIP-6132,Wakad,Kothrud,2025-07-31T16:10:26.687991,8.7,132.83,DR-1123
TRIP-1399,Kothrud,Swargate,2025-07-31T16:10:27.702714,8.94,125.17,DR-6709
TRIP-4861,Swargate,Baner,2025-07-31T16:10:28.718278,11.84,183.2,DR-8722
TRIP-1869,Baner,Hinjewadi,2025-07-31T16:10:29.722131,6.55,111.6,DR-9789
TRIP-4238,Hinjewadi,Shivajinagar,2025-07-31T16:10:30.737364,5.25,94.86,DR-3319
TRIP-8954,Shivajinagar,Wakad,2025-07-31T16:10:31.747054,5.24,108.52,DR-6449
TRIP-7492,Shivajinagar,Kothrud,2025-07-31T16:10:32.752965,11.01,172.73,DR-1378
TRIP-2020,Shivajinagar,Hinjewadi,2025-07-31T16:10:33.753607,14.06,216.34,DR-8215
TRIP-8028,Hinjewadi,Wakad,2025-07-31T16:10:34.759895,4.47,92.29,DR-9474
TRIP-6977,Baner,Hinjewadi,2025-07-31T16:10:35.765836,12.61,200.67,DR-8735
TRIP-5800,Shivajinagar,Hinjewadi,2025-07-31T16:10:36.771149,13.85,227.65,DR-1328
TRIP-7552,Swargate,Shivajinagar,2025-07-31T16:10:37.776637,9.74,172.74,DR-6398
TRIP-2789,Hinjewadi,Koregaon Park,2025-07-31T16:10:38.779506,15.0,251.89,DR-3925
TRIP-5682,Wakad,Baner,2025-07-31T16:10:39.783305,13.01,215.45,DR-4216
TRIP-9734,Wakad,Swargate,2025-07-31T16:10:40.792038,3.4,72.95,DR-1322
TRIP-2949,Swargate,Baner,2025-07-31T16:10:41.793437,11.93,178.52,DR-1418
TRIP-4888,Wakad,Shivajinagar,2025-07-31T16:10:42.809934,14.11,216.66,DR-8970
TRIP-7422,Kothrud,Viman Nagar,2025-07-31T16:10:43.823974,11.07,174.61,DR-5299
TRIP-7490,Kothrud,Swargate,2025-07-31T16:10:44.825806,3.05,76.24,DR-3928
TRIP-9100,Hinjewadi,Baner,2025-07-31T16:10:45.830133,10.01,182.89,DR-4572
TRIP-5343,Wakad,Baner,2025-07-31T16:10:46.844444,10.89,165.39,DR-8752
TRIP-6180,Kothrud,Viman Nagar,2025-07-31T16:10:47.849814,9.44,150.98,DR-6208
TRIP-1317,Wakad,Hinjewadi,2025-07-31T16:10:48.856469,3.12,67.97,DR-2044
TRIP-6281,Koregaon Park,Swargate,2025-07-31T16:10:49.868898,13.39,196.85,DR-8417
TRIP-2217,Wakad,Baner,2025-07-31T16:10:50.886186,10.19,170.99,DR-9554
TRIP-4274,Viman Nagar,Hinjewadi,2025-07-31T16:10:51.908389,14.67,253.35,DR-6822
TRIP-2876,Hinjewadi,Swargate,2025-07-31T16:10:52.912646,12.68,171.37,DR-6006
TRIP-8802,Kothrud,Koregaon Park,2025-07-31T16:10:53.922120,7.73,133.33,DR-5415
TRIP-8121,Viman Nagar,Baner,2025-07-31T16:10:54.937902,9.97,139.88,DR-4707
TRIP-7589,Hinjewadi,Viman Nagar,2025-07-31T16:10:55.954560,10.16,175.44,DR-4498
TRIP-8285,Kothrud,Viman Nagar,2025-07-31T16:10:56.960836,7.76,138.44,DR-4366
TRIP-5575,Wakad,Swargate,2025-07-31T16:10:57.963634,8.57,137.95,DR-1617
TRIP-6706,Viman Nagar,Baner,2025-07-31T16:10:58.965802,10.56,178.89,DR-8850
TRIP-2711,Wakad,Koregaon Park,2025-07-31T16:10:59.968398,13.14,204.24,DR-9681
TRIP-8494,Wakad,Viman Nagar,2025-07-31T16:11:00.974274,13.33,200.67,DR-9739
TRIP-8260,Shivajinagar,Wakad,2025-07-31T16:11:01.987486,14.7,253.63,DR-2189
TRIP-4447,Swargate,Viman Nagar,2025-07-31T16:11:02.991919,9.59,134.37,DR-3602
TRIP-9866,Koregaon Park,Hinjewadi,2025-07-31T16:11:03.997983,6.33,108.86,DR-7325
TRIP-1379,Swargate,Kothrud,2025-07-31T16:11:05.005209,7.24,112.94,DR-7407
TRIP-9310,Kothrud,Viman Nagar,2025-07-31T16:11:06.019112,11.28,170.18,DR-9027
TRIP-4587,Baner,Hinjewadi,2025-07-31T16:11:07.032638,12.1,206.65,DR-4459
TRIP-5746,Wakad,Viman Nagar,2025-07-31T16:11:08.033718,3.68,79.17,DR-5218
TRIP-4797,Koregaon Park,Shivajinagar,2025-07-31T16:11:09.038790,3.7,89.46,DR-5116
TRIP-3080,Shivajinagar,Wakad,2025-07-31T16:11:10.041990,12.36,204.89,DR-3432
TRIP-2232,Baner,Shivajinagar,2025-07-31T16:11:11.047090,3.52,79.05,DR-7243
TRIP-3366,Viman Nagar,Koregaon Park,2025-07-31T16:11:12.056305,8.04,117.35,DR-6266
TRIP-4612,Wakad,Koregaon Park,2025-07-31T16:11:13.060696,4.4,82.16,DR-7903
TRIP-7348,Koregaon Park,Viman Nagar,2025-07-31T16:11:14.064946,14.68,211.74,DR-2935
TRIP-8124,Koregaon Park,Kothrud,2025-07-31T16:11:15.073379,6.8,108.97,DR-7480
TRIP-2539,Baner,Swargate,2025-07-31T16:11:16.084980,5.17,96.51,DR-5934
TRIP-7171,Shivajinagar,Koregaon Park,2025-07-31T16:11:17.089735,4.54,83.05,DR-7670
TRIP-9649,Baner,Hinjewadi,2025-07-31T16:11:18.092531,12.27,170.93,DR-2489
TRIP-1190,Swargate,Kothrud,2025-07-31T16:11:19.095896,9.16,126.75,DR-9437
TRIP-5894,Swargate,Kothrud,2025-07-31T16:11:20.095965,9.56,150.67,DR-2917
TRIP-2478,Koregaon Park,Kothrud,2025-07-31T16:11:21.105006,12.66,176.8,DR-4071
TRIP-2771,Hinjewadi,Kothrud,2025-07-31T16:11:22.108153,9.24,138.71,DR-7148
TRIP-2325,Swargate,Kothrud,2025-07-31T16:11:23.112552,8.84,145.38,DR-1384
TRIP-3308,Hinjewadi,Swargate,2025-07-31T16:11:24.119488,8.43,131.88,DR-4778
TRIP-2372,Baner,Shivajinagar,2025-07-31T16:11:25.123247,11.27,202.2,DR-6051
TRIP-6425,Shivajinagar,Viman Nagar,2025-07-31T16:11:26.137668,5.72,103.77,DR-4977
TRIP-2075,Viman Nagar,Hinjewadi,2025-07-31T16:11:27.142759,13.31,222.81,DR-5633
TRIP-8297,Koregaon Park,Kothrud,2025-07-31T16:11:28.148156,12.48,192.03,DR-9124
TRIP-2679,Swargate,Baner,2025-07-31T16:11:29.154616,12.13,165.33,DR-3983
TRIP-5332,Kothrud,Shivajinagar,2025-07-31T16:11:30.159740,5.08,94.07,DR-4510
TRIP-9642,Viman Nagar,Swargate,2025-07-31T16:11:31.163730,4.88,92.95,DR-3546
TRIP-8563,Kothrud,Shivajinagar,2025-07-31T16:11:32.176509,7.49,127.72,DR-6406
TRIP-5819,Wakad,Shivajinagar,2025-07-31T16:11:33.184943,10.07,169.13,DR-6128
TRIP-6320,Hinjewadi,Viman Nagar,2025-07-31T16:11:34.201116,3.99,94.13,DR-6207
TRIP-6668,Kothrud,Hinjewadi,2025-07-31T16:11:35.218406,3.58,70.97,DR-1096
TRIP-7563,Shivajinagar,Swargate,2025-07-31T16:11:36.223763,3.95,81.49,DR-8508
TRIP-1851,Shivajinagar,Baner,2025-07-31T16:11:37.231064,8.87,160.39,DR-7261
TRIP-1159,Hinjewadi,Koregaon Park,2025-07-31T16:11:38.238551,12.06,198.57,DR-3209
TRIP-8503,Wakad,Kothrud,2025-07-31T16:11:39.242224,3.78,84.04,DR-8482
TRIP-5475,Swargate,Hinjewadi,2025-07-31T16:11:40.246748,9.86,157.4,DR-7080
TRIP-1163,Kothrud,Swargate,2025-07-31T16:11:41.247701,13.66,202.09,DR-6465
TRIP-9039,Hinjewadi,Koregaon Park,2025-07-31T16:11:42.252679,4.53,87.73,DR-2982
TRIP-4481,Shivajinagar,Swargate,2025-07-31T16:11:43.257458,13.0,199.85,DR-1296
TRIP-4764,Baner,Wakad,2025-07-31T16:11:44.264270,8.66,139.58,DR-1470
TRIP-9460,Shivajinagar,Kothrud,2025-07-31T16:11:45.275452,12.33,200.51,DR-5094
TRIP-3998,Wakad,Hinjewadi,2025-07-31T16:11:46.278926,12.96,187.23,DR-8052
TRIP-4025,Hinjewadi,Baner,2025-07-31T16:11:47.292451,13.79,237.4,DR-6810
TRIP-1837,Viman Nagar,Hinjewadi,2025-07-31T16:11:48.295916,7.14,141.28,DR-6989
TRIP-2302,Hinjewadi,Shivajinagar,2025-07-31T16:11:49.306198,3.93,89.38,DR-7632
TRIP-3799,Kothrud,Viman Nagar,2025-07-31T16:11:50.313828,12.05,185.25,DR-8145
TRIP-4284,Hinjewadi,Viman Nagar,2025-07-31T16:11:51.318951,8.22,127.28,DR-3064
TRIP-9823,Shivajinagar,Viman Nagar,2025-07-31T16:11:52.329117,14.47,186.9,DR-5539
TRIP-8708,Baner,Kothrud,2025-07-31T16:11:53.337784,14.83,213.69,DR-6716
TRIP-5535,Kothrud,Viman Nagar,2025-07-31T16:11:54.340326,10.34,138.83,DR-8295
TRIP-6722,Hinjewadi,Koregaon Park,2025-07-31T16:11:55.342749,5.82,102.66,DR-9354
TRIP-7327,Baner,Koregaon Park,2025-07-31T16:11:56.345868,6.45,124.49,DR-3898
TRIP-3334,Kothrud,Shivajinagar,2025-07-31T16:11:57.352813,8.84,152.4,DR-1234
TRIP-7349,Viman Nagar,Koregaon Park,2025-07-31T16:11:58.367519,6.17,106.7,DR-3700
TRIP-4709,Baner,Kothrud,2025-07-31T16:11:59.373292,9.81,168.41,DR-8180
TRIP-1183,Viman Nagar,Shivajinagar,2025-07-31T16:12:00.377965,3.45,77.48,DR-8831
TRIP-4900,Swargate,Viman Nagar,2025-07-31T16:12:01.381566,6.94,106.61,DR-8487
TRIP-1903,Wakad,Kothrud,2025-07-31T16:12:02.390922,5.52,109.55,DR-4006
TRIP-2374,Swargate,Wakad,2025-07-31T16:12:03.397827,5.16,109.25,DR-4775
TRIP-4964,Hinjewadi,Kothrud,2025-07-31T16:12:04.403925,7.87,135.6,DR-5440
TRIP-7070,Kothrud,Baner,2025-07-31T16:12:05.411440,5.67,113.96,DR-8715
TRIP-9496,Viman Nagar,Shivajinagar,2025-07-31T16:12:06.417564,12.15,212.84,DR-1634
TRIP-1305,Shivajinagar,Viman Nagar,2025-07-31T16:12:07.420879,4.62,84.99,DR-6069
TRIP-4943,Swargate,Wakad,2025-07-31T16:12:08.426542,14.62,214.46,DR-8223
TRIP-5515,Hinjewadi,Swargate,2025-07-31T16:12:09.432500,11.35,177.7,DR-9053
TRIP-9803,Shivajinagar,Hinjewadi,2025-07-31T16:12:10.439152,11.93,206.41,DR-7472
TRIP-3485,Swargate,Baner,2025-07-31T16:12:11.440743,3.41,69.86,DR-1809
TRIP-6751,Kothrud,Shivajinagar,2025-07-31T16:12:12.446948,5.83,109.04,DR-4540
TRIP-9366,Wakad,Shivajinagar,2025-07-31T16:12:13.460472,8.96,164.61,DR-7912
TRIP-4244,Wakad,Swargate,2025-07-31T16:12:14.463084,3.63,88.02,DR-7152
TRIP-6577,Kothrud,Koregaon Park,2025-07-31T16:12:15.472593,8.69,123.1,DR-8283
TRIP-7991,Shivajinagar,Swargate,2025-07-31T16:12:16.485964,3.38,74.12,DR-4377
TRIP-9996,Kothrud,Hinjewadi,2025-07-31T16:12:17.493712,10.02,170.66,DR-7413
TRIP-6990,Shivajinagar,Koregaon Park,2025-07-31T16:12:18.500220,8.75,151.85,DR-8443
TRIP-4574,Hinjewadi,Kothrud,2025-07-31T16:12:19.504178,11.73,164.86,DR-8293
TRIP-2581,Koregaon Park,Baner,2025-07-31T16:12:20.516710,3.86,74.63,DR-7534
TRIP-2525,Hinjewadi,Wakad,2025-07-31T16:12:21.519848,3.07,74.5,DR-5752
TRIP-3093,Wakad,Baner,2025-07-31T16:12:22.523814,7.61,137.54,DR-7303
TRIP-1132,Swargate,Hinjewadi,2025-07-31T16:12:23.528911,13.92,215.06,DR-9556
TRIP-7850,Shivajinagar,Hinjewadi,2025-07-31T16:12:24.538891,9.86,178.24,DR-5402
TRIP-8867,Wakad,Hinjewadi,2025-07-31T16:12:25.548961,6.41,120.04,DR-3668
TRIP-3654,Baner,Shivajinagar,2025-07-31T16:12:26.554391,14.72,193.83,DR-9719
TRIP-4704,Viman Nagar,Hinjewadi,2025-07-31T16:12:27.557455,6.15,113.32,DR-6404
TRIP-4740,Swargate,Kothrud,2025-07-31T16:12:28.559984,14.57,225.54,DR-2199
TRIP-4218,Baner,Viman Nagar,2025-07-31T16:12:29.565813,5.77,106.83,DR-5273
TRIP-1893,Swargate,Koregaon Park,2025-07-31T16:12:30.581362,12.61,190.35,DR-2883
TRIP-3251,Baner,Hinjewadi,2025-07-31T16:12:31.584552,13.68,182.0,DR-1833
TRIP-8079,Wakad,Baner,2025-07-31T16:12:32.590669,7.97,139.52,DR-7237
TRIP-9125,Viman Nagar,Koregaon Park,2025-07-31T16:12:33.595485,6.33,102.54,DR-2493
TRIP-7694,Baner,Wakad,2025-07-31T16:12:34.607048,7.33,113.54,DR-9265
TRIP-2351,Wakad,Hinjewadi,2025-07-31T16:12:35.608517,7.9,127.11,DR-2821
TRIP-9846,Viman Nagar,Koregaon Park,2025-07-31T16:12:36.615686,13.51,172.13,DR-2688
TRIP-8763,Koregaon Park,Shivajinagar,2025-07-31T16:12:37.619001,11.59,198.6,DR-1702
TRIP-8959,Kothrud,Baner,2025-07-31T16:12:38.626150,5.87,102.66,DR-6931
TRIP-5235,Swargate,Kothrud,2025-07-31T16:12:39.628004,12.51,221.99,DR-2399
TRIP-8813,Kothrud,Shivajinagar,2025-07-31T16:12:40.632181,3.66,72.72,DR-2362
TRIP-6639,Viman Nagar,Kothrud,2025-07-31T16:12:41.644642,5.89,120.51,DR-5780
TRIP-8861,Koregaon Park,Kothrud,2025-07-31T16:12:42.654569,7.36,115.29,DR-8303
TRIP-4483,Hinjewadi,Wakad,2025-07-31T16:12:43.671085,5.02,95.02,DR-6132
TRIP-4410,Baner,Wakad,2025-07-31T16:12:44.678808,9.92,145.05,DR-1783
TRIP-7319,Viman Nagar,Baner,2025-07-31T16:12:45.689585,11.09,156.92,DR-3387
TRIP-6395,Viman Nagar,Hinjewadi,2025-07-31T16:12:46.697422,14.98,257.95,DR-8786
TRIP-3943,Baner,Viman Nagar,2025-07-31T16:12:47.703136,6.15,108.29,DR-4871
TRIP-1200,Shivajinagar,Viman Nagar,2025-07-31T16:12:48.713421,7.95,120.74,DR-3174
TRIP-5495,Viman Nagar,Shivajinagar,2025-07-31T16:12:49.718037,4.44,101.49,DR-6989
